Animal_1,Animal_2,Coeficiente
M004,F001,0.0
M008,F002,0.0
M005,F003,0.0
M001,F004,0.0
M012,F005,0.0
M005,F006,0.0
M009,F007,0.082457
M002,F008,0.0
M003,F009,0.0
M001,F010,0.0
M007,F011,0.0
M014,F012,0.0
M006,F013,0.0
M005,F014,0.0
M004,F015,0.0
M009,F016,0.0
M010,F017,0.0
M003,F018,0.0
M013,F019,0.141803
M011,F020,0.0
M001,F021,0.0
M007,F022,0.0
M013,F023,0.053872
M015,F024,0.0
M002,F025,0.0
M012,F026,0.0
M004,F027,0.0
M003,F028,0.0
M013,F029,0.0
M006,F030,0.0
M005,F031,0.0
M010,F032,0.0
M004,F033,0.0
M006,F034,0.0
M009,F035,0.0
M005,F036,0.0
M004,F037,0.0
M002,F038,0.0
M015,F039,0.0
M006,F040,0.0
M004,F041,0.0
M005,F042,0.0
M010,F043,0.0
M015,F044,0.0
M009,F045,0.0
M008,F046,0.0
M003,F047,0.0
M001,F048,0.0
M006,F049,0.0
M006,F050,0.0
M005,F051,0.0
M002,F052,0.030816
M011,F053,0.0
M007,F054,0.0
M007,F055,0.0
M004,F056,0.014718
M013,F057,0.0
M006,F058,0.0
M003,F059,0.0
M001,F060,0.0
M010,F061,0.0
M011,F062,0.0
M010,F063,0.081848
M008,F064,0.0
M001,F065,0.024083
M002,F066,0.0
M012,F067,0.0
M012,F068,0.104732
M008,F069,0.0
M015,F070,0.0
M003,F071,0.0
M009,F072,0.0
M013,F073,0.0
M001,F074,0.0
M015,F075,0.0
M009,F076,0.160729
M009,F077,0.0
M010,F078,0.0
M008,F079,0.029106
M003,F080,0.128715
M012,F081,0.0
M008,F082,0.0
M015,F083,0.074386
M010,F084,0.006988
M012,F085,0.0
M007,F086,0.0
M014,F087,0.0
M013,F088,0.036101
M014,F089,0.150764
M011,F090,0.0
M014,F091,0.0
M002,F092,0.136813
M007,F093,0.0
M012,F094,0.0
M013,F095,0.468329
M014,F096,0.028923
M008,F097,0.0
M011,F098,0.0
M015,F099,0.0
M007,F100,0.075258
ESTATÍSTICAS,,
Total de cruzamentos,100,
Média dos coeficientes,0.0183,
Valor objetivo,1.8304,
